referrer,views_total,views_unique
Google,1171,524
github.com,894,223
bambuddy.cool,348,192
wiki.bambuddy.cool,268,75
Bing,135,31
DuckDuckGo,107,55
search.brave.com,68,34
forum.bambuddy.cool,55,6
yandex.ru,48,25
chatgpt.com,42,29
