url_path,views_total,views_unique
/maziggy/bambuddy,2721,1436
/maziggy/bambuddy/issues,620,156
/maziggy/bambuddy/releases,372,212
/maziggy/bambuddy/releases/tag/v1.2.5.5,219,183
/maziggy/bambuddy/pulls,132,50
/maziggy/bambuddy/blob/main/slicer-api/README.md,63,47
/maziggy/bambuddy/blob/main/docs/images/proxy-mode-diagram.png,61,59
/maziggy/bambuddy/tree/main/slicer-api,52,31
/maziggy/bambuddy/blob/main/docker-compose.yml,44,37
/maziggy/BamBuddy,43,38
